key,enabled,identity,password,username
user-account-lecturer-01,true,"UserIdentity{name: 'Lecturer01', surname: 'Acme', email: 'lecturer01@acme.com'}",lecturer1,lecturer1
user-account-lecturer-02,true,"UserIdentity{name: 'Lecturer02', surname: 'Acme', email: 'lecturer02@acme.com'}",lecturer2,lecturer2
user-account-student-01,true,"UserIdentity{name: 'Student01', surname: 'Acme', email: 'student01@acme.com'}",student1,student1
user-account-student-02,true,"UserIdentity{name: 'Student02', surname: 'Acme', email: 'student02@acme.com'}",student2,student2
user-account-company-1,true,"UserIdentity{name: 'Company1', surname: 'Acme', email: 'company1@acme.com'}",company1,company1
user-account-company-2,true,"UserIdentity{name: 'Company2', surname: 'Acme', email: 'company2@acme.com'}",company2,company2
user-account-assistant-1,true,"UserIdentity{name: 'assistant1', surname: 'Acme', email: 'assistant1@acme.com'}",assistant1,assistant1
user-account-assistant-2,true,"UserIdentity{name: 'assistant2', surname: 'Acme', email: 'assistant2@acme.com'}",assistant2,assistant2
user-account-auditor-01,true,"UserIdentity{name: 'auditor1', surname: 'Acme', email: 'auditor1@acme.com'}",auditor1,auditor2
user-account-auditor-02,true,"UserIdentity{name: 'auditor2', surname: 'Acme', email: 'auditor2@acme.com'}",auditor2,auditor1
